"state_dist","state_id","district","state","name","party","incumbent","first_name","last_name","unique_cand_id"
"CA10","CA",10,"California","Jeff Denham","R",TRUE,"Jeff","Denham","CA10_R_Denham"
"CA11","CA",11,"California","George Miller","D",TRUE,"George","Miller","CA11_D_Miller"
"CA11","CA",11,"California","Virginia Fuller","R",FALSE,"Virginia","Fuller","CA11_R_Fuller"
"CA12","CA",12,"California","Nancy Pelosi","D",TRUE,"Nancy","Pelosi","CA12_D_Pelosi"
"CA12","CA",12,"California","John Dennis","R",FALSE,"John","Dennis","CA12_R_Dennis"
"CA13","CA",13,"California","Barbara Lee","D",TRUE,"Barbara","Lee","CA13_D_Lee"
"CA14","CA",14,"California","Jackie Speier","D",TRUE,"Jackie","Speier","CA14_D_Speier"
"CA14","CA",14,"California","Debbie Bacigalupi","R",FALSE,"Debbie","Bacigalupi","CA14_R_Bacigalupi"
"CA15","CA",15,"California","Pete Stark","D",TRUE,"Pete","Stark","CA15_D_Stark"
"CA15","CA",15,"California","Eric Swalwell","D",FALSE,"Eric","Swalwell","CA15_D_Swalwell"
"CA16","CA",16,"California","Jim Costa","D",TRUE,"Jim","Costa","CA16_D_Costa"
"CA16","CA",16,"California","Brian Whelan","R",FALSE,"Brian","Whelan","CA16_R_Whelan"
"CA17","CA",17,"California","Mike Honda","D",TRUE,"Mike","Honda","CA17_D_Honda"
"CA17","CA",17,"California","Evelyn Li","R",FALSE,"Evelyn","Li","CA17_R_Li"
"CA18","CA",18,"California","Anna Eshoo","D",TRUE,"Anna","Eshoo","CA18_D_Eshoo"
"CA18","CA",18,"California","Dave Chapman","R",FALSE,"Dave","Chapman","CA18_R_Chapman"
"CA19","CA",19,"California","Zoe Lofgren","D",TRUE,"Zoe","Lofgren","CA19_D_Lofgren"
"CA19","CA",19,"California","Robert Murray","R",FALSE,"Robert","Murray","CA19_R_Murray"
"CA20","CA",20,"California","Sam Farr","D",TRUE,"Sam","Farr","CA20_D_Farr"
"CA20","CA",20,"California","Jeff Taylor","R",FALSE,"Jeff","Taylor","CA20_R_Taylor"
"CA21","CA",21,"California","John Hernandez","D",FALSE,"John","Hernandez","CA21_D_Hernandez"
"CA21","CA",21,"California","David Valadao","R",FALSE,"David","Valadao","CA21_R_Valadao"
"CA22","CA",22,"California","Otto Lee","D",FALSE,"Otto","Lee","CA22_D_Lee"
"CA22","CA",22,"California","Devin Nunes","R",TRUE,"Devin","Nunes","CA22_R_Nunes"
