"state_dist","state_id","district","D_name","D_first_name","D_last_name","R_name","R_first_name","R_last_name","incumbent_party"
"CO02","CO",2,"Jared Polis","Jared","Polis","Kevin Lundberg","Kevin","Lundberg","D"
"CO03","CO",3,"Sal Pace","Sal","Pace","Scott Tipton","Scott","Tipton","R"
"CO04","CO",4,"Brandon Shaffer","Brandon","Shaffer","Cory Gardner","Cory","Gardner","R"
"CO05","CO",5,"Bob Evans","Bob","Evans","Doug Lamborn","Doug","Lamborn","R"
"CO06","CO",6,"Joe Miklosi","Joe","Miklosi","Mike Coffman","Mike","Coffman","R"
"CO07","CO",7,"Ed Perlmutter","Ed","Perlmutter","Joe Coors","Joe","Coors","D"
"CT01","CT",1,"John Larson","John","Larson","John Decker","John","Decker","D"
"CT02","CT",2,"Joe Courtney","Joe","Courtney","Paul Formica","Paul","Formica","D"
"CT03","CT",3,"Rosa DeLauro","Rosa","DeLauro","Wayne Winsley","Wayne","Winsley","D"
"CT04","CT",4,"Jim Himes","Jim","Himes","Steve Obsitnik","Steve","Obsitnik","D"
"CT05","CT",5,"Elizabeth Esty","Elizabeth","Esty","Andrew Roraback","Andrew","Roraback","O"
"DE01","DE",1,"John Carney","John","Carney","Tom Kovach","Tom","Kovach","D"
"FL01","FL",1,"Jim Bryan","Jim","Bryan","Jeff Miller","Jeff","Miller","R"
"FL02","FL",2,"Alfred Lawson","Alfred","Lawson","Steve Southerland","Steve","Southerland","R"
"FL03","FL",3,"Jacques Gaillot","Jacques","Gaillot","Ted Yoho","Ted","Yoho","O"
"FL05","FL",5,"Corrine Brown","Corrine","Brown","LeAnne Kolb","LeAnne","Kolb","D"
"FL06","FL",6,"Heather Beaven","Heather","Beaven","Ron DeSantis","Ron","DeSantis","O"
"FL07","FL",7,"Jason Kendall","Jason","Kendall","John Mica","John","Mica","R"
"FL08","FL",8,"Shannon Roberts","Shannon","Roberts","Bill Posey","Bill","Posey","R"
"FL09","FL",9,"Alan Grayson","Alan","Grayson","Todd Long","Todd","Long","O"
"FL10","FL",10,"Val Deming","Val","Deming","Daniel Webster","Daniel","Webster","R"
"FL11","FL",11,"David Werder","David","Werder","Richard Nugent","Richard","Nugent","R"
"FL12","FL",12,"Jonathan Snow","Jonathan","Snow","Gus Bilirakis","Gus","Bilirakis","R"
"FL13","FL",13,"Jessica Ehrlich","Jessica","Ehrlich","Bill Young","Bill","Young","R"
"FL14","FL",14,"Kathy Castor","Kathy","Castor","Evelio Otero","Evelio","Otero","D"
"FL16","FL",16,"Keith Fitzgerald","Keith","Fitzgerald","Vernon Buchanan","Vernon","Buchanan","R"
"FL17","FL",17,"William Bronson","William","Bronson","Tom Rooney","Tom","Rooney","R"
"FL18","FL",18,"Patrick Murphy","Patrick","Murphy","Allen West","Allen","West","R"
"FL19","FL",19,"Jim Roach","Jim","Roach","Trey Radel","Trey","Radel","O"
"FL20","FL",20,"Alcee Hastings","Alcee","Hastings","Joe Goldner","Joe","Goldner","D"
"FL22","FL",22,"Lois Frankel","Lois","Frankel","Adam Hasner","Adam","Hasner","O"
"FL23","FL",23,"Debbie Schultz","Debbie","Schultz","Karen Harrington","Karen","Harrington","D"
"FL26","FL",26,"Joe Garcia","Joe","Garcia","David Rivera","David","Rivera","R"
"FL27","FL",27,"Manny Yevancey","Manny","Yevancey","Ileana Ros","Ileana","Ros","R"
"GA01","GA",1,"Lesli Messinger","Lesli","Messinger","Jack Kingston","Jack","Kingston","R"
"GA02","GA",2,"Sanford Bishop","Sanford","Bishop","John Allen","John","Allen","D"
"GA04","GA",4,"Hank Johnson","Hank","Johnson","Chris Vaughn","Chris","Vaughn","D"
"GA05","GA",5,"John Lewis","John","Lewis","Howard Stopeck","Howard","Stopeck","D"
"GA06","GA",6,"Jeff Kazanow","Jeff","Kazanow","Tom Price","Tom","Price","R"
"GA07","GA",7,"Steve Reilly","Steve","Reilly","Rob Woodall","Rob","Woodall","R"
"GA09","GA",9,"Jody Cooley","Jody","Cooley","Doug Collins","Doug","Collins","O"
"GA11","GA",11,"Patrick Thompson","Patrick","Thompson","Phil Gingrey","Phil","Gingrey","R"
"GA12","GA",12,"John Barrow","John","Barrow","Lee Anderson","Lee","Anderson","D"
"GA13","GA",13,"David Scott","David","Scott","Shahid Malik","Shahid","Malik","D"
"GA14","GA",14,"Dan Grant","Dan","Grant","Tom Graves","Tom","Graves","R"
"HI01","HI",1,"Colleen Hanabusa","Colleen","Hanabusa","Charles Djou","Charles","Djou","D"
"HI02","HI",2,"Tulsi Gabbard","Tulsi","Gabbard","Kawika Crowley","Kawika","Crowley","O"
"IA01","IA",1,"Bruce Braley","Bruce","Braley","Ben Lange","Ben","Lange","D"
"IA02","IA",2,"Dave Loebsack","Dave","Loebsack","John Archer","John","Archer","D"
"IA03","IA",3,"Leonard Boswell","Leonard","Boswell","Tom Latham","Tom","Latham","R"
"IA04","IA",4,"Christie Vilsack","Christie","Vilsack","Steve King","Steve","King","R"
"ID01","ID",1,"Jimmy Farris","Jimmy","Farris","Raul Labrador","Raul","Labrador","R"
"ID02","ID",2,"Nicole LeFavour","Nicole","Lefavour","Mike Simpson","Mike","Simpson","R"
"IL01","IL",1,"Bobby Rush","Bobby","Rush","Donald Peloquin","Donald","Peloquin","D"
"IL02","IL",2,"Jesse Jackson Jr.","Jesse","Jackson","Brian Woodworth","Brian","Woodworth","D"
"IL03","IL",3,"Dan Lipinski","Dan","Lipinski","Richard Grabowski","Richard","Grabowski","D"
"IL04","IL",4,"Luis Gutierrez","Luis","Gutierrez","Hector Concepcion","Hector","Concepcion","D"
"IL05","IL",5,"Mike Quigley","Mike","Quigley","Dan Schmitt","Dan","Schmitt","D"
"IL06","IL",6,"Leslie Coolidge","Leslie","Coolidge","Peter Roskam","Peter","Roskam","R"
"IL08","IL",8,"Tammy Duckworth","Tammy","Duckworth","Joe Walsh","Joe","Walsh","R"
"IL09","IL",9,"Jan Schakowsky","Jan","Schakowsky","Timothy Wolfe","Tim","Wolfe","D"
"IL10","IL",10,"Brad Schneider","Brad","Schneider","Robert Dold","Robert","Dold","R"
"IL11","IL",11,"Bill Foster","Bill","Foster","Judy Biggert","Judy","Biggert","R"
"IL12","IL",12,"Bill Enyart","Bill","Enyart","Jason Plummer","Jason","Plummer","O"
"IL13","IL",13,"David Gill","David","Gill","Rodney Davis","Rodney","Davis","O"
"IL14","IL",14,"Dennis Anderson","Dennis","Anderson","Randy Hultgren","Randy","Hultgren","R"
"IL15","IL",15,"Angela Michael","Angela","Michael","John Shimkus","John","Shimkus","R"
"IL16","IL",16,"Wanda Rohl","Wanda","Rohl","Adam Kinzinger","Adam","Kinzinger","R"
"IL17","IL",17,"Cheri Bustos","Cheri","Bustos","Bobby Schilling","Bobby","Schilling","R"
"IL18","IL",18,"Steve Waterworth","Steve","Waterworth","Aaron Schock","Aaron","Schock","R"
"IN01","IN",1,"Peter Visclosky","Pete","Visclosky","Joel Phelps","Joel","Phelps","D"
"IN02","IN",2,"Brendan Mullen","Brendan","Mullen","Jackie Walorski","Jackie","Walorski","O"
"IN03","IN",3,"Kevin Boyd","Kevin","Boyd","Marlin Stutzman","Marlin","Stutzman","R"
"IN04","IN",4,"Tara Nelson","Tara","Nelson","Todd Rokita","Todd","Rokita","R"
"IN05","IN",5,"Scott Reske","Scott","Reske","Susan Brooks","Susan","Brooks","O"
"IN06","IN",6,"Bradley Bookout","Bradley","Bookout","Luke Messer","Luke","Messer","O"
"IN07","IN",7,"Andre Carson","Andre","Carson","Carlos May","Carlos","May","D"
"IN08","IN",8,"Dave Crooks","David","Crooks","Larry Bucshon","Larry","Bucshon","R"
"IN09","IN",9,"Shelli Yoder","Shelli","Yoder","Todd Young","Todd","Young","R"
"KS02","KS",2,"Tobias Schlingensiepen","Tobias","Schlingensiepen","Lynn Jenkins","Lynn","Jenkins","R"
"KS04","KS",4,"Robert Tillman","Robert","Tillman","Mike Pompeo","Mike","Pompeo","R"
"KY01","KY",1,"Charles Hatchett","Charles","Hatchett","Ed Whitfield","Ed","Whitfield","R"
"KY02","KY",2,"David Williams","David","Williams","Brett Guthrie","Brett","Guthrie","R"
"KY03","KY",3,"John Yarmuth","John","Yarmuth","Brooks Wicker","Brooks","Wicker","D"
"KY04","KY",4,"William Adkins","Bill","Adkins","Thomas Massie","Thomas","Massie","O"
"KY05","KY",5,"Kenneth Stepp","Ken","Stepp","Hal Rogers","Hal","Rogers","R"
"KY06","KY",6,"Ben Chandler","Ben","Chandler","Andy Barr","Andy","Barr","D"
"LA02","LA",2,"Cedric Richmond","Cedric","Richmond","Gail Dignam","Gail","Dignam","D"
"MA04","MA",4,"Joe Kennedy","Joe","Kennedy","Sean Bielat","Sean","Bielat","O"
"MA05","MA",5,"Ed Markey","Ed","Markey","Tom Tierney","Tom","Tierney","D"
"MA06","MA",6,"John Tierney","John","Tierney","Richard Tisei","Richard","Tisei","D"
"MA08","MA",8,"Stephen Lynch","Stephen","Lynch","Joe Selvaggi","Joe","Selvaggi","D"
"MA09","MA",9,"Bill Keating","Bill","Keating","Adam Chaprales","Adam","Chaprales","D"
"MD01","MD",1,"Wendy Rosen","Wendy","Rosen","Andy Harris","Andy","Harris","R"
"MD02","MD",2,"Dutch Ruppersberger","Dutch","Ruppersberger","Nancy Jacobs","Nancy","Jacobs","D"
"MD03","MD",3,"John Sarbanes","John","Sarbanes","Eric Knowles","Eric","Knowles","D"
"MD04","MD",4,"Donna Edwards","Donna","Edwards","Faith Loudon","Faith","Loudon","D"
"MD05","MD",5,"Steny Hoyer","Steny","Hoyer","Tony O'Donnell","Tony","O'Donnell","D"
"MD06","MD",6,"John Delaney","John","Delaney","Roscoe Bartlett","Roscoe","Bartlett","R"
"MD07","MD",7,"Elijah Cummings","Elijah","Cummings","Frank Mirabile","Frank","Mirabile","D"
"MD08","MD",8,"Chris Van Hollen","Chris","Van Hollen","Ken Timmerman","Ken","Timmerman","D"
"ME01","ME",1,"Chellie Pingree","Chellie","Pingree","Jonathan Courtney","Jon","Courtney","D"
"ME02","ME",2,"Mike Michaud","Mike","Michaud","Kevin Raye","Kevin","Raye","D"
"MI01","MI",1,"Gary McDowell","Gary","McDowell","Dan Benishek","Dan","Benishek","R"
"MI03","MI",3,"Steve Pestka","Steve","Pestka","Justin Amash","Justin","Amash","R"
"MI05","MI",5,"Dan Kildee","Dan","Kildee","Jim Slezak","Jim","Slezak","O"
"MI06","MI",6,"Mike O'Brien","Mike","O'Brien","Fred Upton","Fred","Upton","R"
"MI07","MI",7,"Kurt Haskell","Kurt","Haskell","Tim Walberg","Tim","Walberg","R"
"MI08","MI",8,"Lance Enderle","Lance","Enderle","Mike Rogers","Mike","Rogers","R"
"MI09","MI",9,"Sander Levin","Sander","Levin","Donald Volaric","Donald","Volaric","D"
"MI10","MI",10,"Chuck Stadler","Chuck","Stadler","Candice Miller","Candice","Miller","R"
"MI11","MI",11,"Syed Taj","Syed","Taj","Kerry Bentivolio","Kerry","Bentivolio","O"
"MI12","MI",12,"John Dingell","John","Dingell","Cynthia Kallgren","Cynthia","Kallgren","D"
"MI13","MI",13,"John Conyers","John","Conyers","Harry Sawicki","Harry","Sawicki","D"
"MI14","MI",14,"Gary Peters","Gary","Peters","John Hauler","John","Hauler","D"
"MN01","MN",1,"Tim Walz","Tim","Walz","Allen Quist","Allen","Quist","D"
"MN02","MN",2,"Mike Obermueller","Mike","Obermueller","John Kline","John","Kline","R"
"MN03","MN",3,"Brian Barnes","Brian","Barnes","Erik Paulsen","Erik","Paulsen","R"
